Year,Units,Регион,Город,Скорость Интернета,Value
2013,тысяч единиц,,,,29.901
2014,тысяч единиц,,,,26.836
2015,тысяч единиц,,,,27.482
2016,тысяч единиц,,,,21.511
2017,тысяч единиц,,,,31.382
2018,тысяч единиц,,,,32.5
2012,тысяч единиц,,,,24.887
2013,тысяч единиц,,,,0.986
2014,тысяч единиц,,,,47.927
2015,тысяч единиц,,,,42.793
2016,тысяч единиц,,,,60.039
2017,тысяч единиц,,,,71.542
2012,тысяч единиц,,,,45.064
2013,тысяч единиц,,,,50.015
2014,тысяч единиц,,,,49.849
2015,тысяч единиц,,,,44.249
2016,тысяч единиц,,,,44.144
2017,тысяч единиц,,,,48.563
2018,тысяч единиц,,,,86.3
2012,тысяч единиц,Северо-Казахстанская,,,27.405
2013,тысяч единиц,Северо-Казахстанская,,,33.82
2014,тысяч единиц,Северо-Казахстанская,,,37.548
2015,тысяч единиц,Северо-Казахстанская,,,37.91
2016,тысяч единиц,Северо-Казахстанская,,,39.694
2017,тысяч единиц,Северо-Казахстанская,,,51.516
2018,тысяч единиц,Северо-Казахстанская,,,55.8
2018,тысяч единиц,,,,50.1
2012,тысяч единиц,,,,71.755
2013,тысяч единиц,,,,66.389
2014,тысяч единиц,,,,65.182
2015,тысяч единиц,,,,58.898
2016,тысяч единиц,,,,53.027
2017,тысяч единиц,,,,77.738
2018,тысяч единиц,,,,84.8
2012,тысяч единиц,,г. Астана,,75.249
2013,тысяч единиц,,г. Астана,,78.957
2014,тысяч единиц,,г. Астана,,44.634
2015,тысяч единиц,,г. Астана,,44.252
2016,тысяч единиц,,г. Астана,,58.454
2017,тысяч единиц,,г. Астана,,50.018
2018,тысяч единиц,,г. Астана,,565.4
2012,тысяч единиц,,г. Алматы,,195.933
2013,тысяч единиц,,г. Алматы,,176.199
2014,тысяч единиц,,г. Алматы,,165.758
2015,тысяч единиц,,г. Алматы,,112.206
2016,тысяч единиц,,г. Алматы,,95.856
2017,тысяч единиц,,г. Алматы,,109.513
2018,тысяч единиц,,г. Алматы,,131.1
2018,тысяч единиц,,г. Шымкент,,27.1
2012,тысяч единиц,,,выше 10 Мбит/сек,335.6
2013,тысяч единиц,,,выше 10 Мбит/сек,663.34
2014,тысяч единиц,,,выше 10 Мбит/сек,857.038
2015,тысяч единиц,,,выше 10 Мбит/сек,1010.56
2016,тысяч единиц,,,выше 10 Мбит/сек,1226.908
2017,тысяч единиц,,,выше 10 Мбит/сек,1424.394
2018,тысяч единиц,,,выше 10 Мбит/сек,696.5
2012,тысяч единиц,Акмолинская,,,6.3
2013,тысяч единиц,Акмолинская,,,11.581
2014,тысяч единиц,Акмолинская,,,16.756
2015,тысяч единиц,Акмолинская,,,22.259
2016,тысяч единиц,Акмолинская,,,24.702
2017,тысяч единиц,Акмолинская,,,26.581
2018,тысяч единиц,Акмолинская,,,28.4
2012,тысяч единиц,,,,2.1
2013,тысяч единиц,,,,9.49
2014,тысяч единиц,,,,16.688
2015,тысяч единиц,,,,20.536
2016,тысяч единиц,,,,22.365
2017,тысяч единиц,,,,28.419
2018,тысяч единиц,,,,29.8
2012,тысяч единиц,,,,5.6
2013,тысяч единиц,,,,12.127
2014,тысяч единиц,,,,22.461
2015,тысяч единиц,,,,26.574
2016,тысяч единиц,,,,26.203
2017,тысяч единиц,,,,32.13
2018,тысяч единиц,,,,33.5
2012,тысяч единиц,,,,6.9
2013,тысяч единиц,,,,11.388
2014,тысяч единиц,,,,18.27
2015,тысяч единиц,,,,18.767
2016,тысяч единиц,,,,21.114
2017,тысяч единиц,,,,22.685
2018,тысяч единиц,,,,23.7
2012,тысяч единиц,Западно-Казахстанская,,,2.0
2013,тысяч единиц,Западно-Казахстанская,,,7.405
2014,тысяч единиц,Западно-Казахстанская,,,12.217
2015,тысяч единиц,Западно-Казахстанская,,,14.834
2016,тысяч единиц,Западно-Казахстанская,,,15.024
2017,тысяч единиц,Западно-Казахстанская,,,16.008
2018,тысяч единиц,Западно-Казахстанская,,,16.0
2012,тысяч единиц,,,,1.4
2013,тысяч единиц,,,,9.903
2014,тысяч единиц,,,,12.41
2015,тысяч единиц,,,,11.981
2016,тысяч единиц,,,,13.652
2017,тысяч единиц,,,,15.542
2018,тысяч единиц,,,,14.9
2012,тысяч единиц,,,,16.4
2013,тысяч единиц,,,,36.345
2014,тысяч единиц,,,,55.43
2015,тысяч единиц,,,,64.722
2016,тысяч единиц,,,,72.999
2017,тысяч единиц,,,,75.003
2018,тысяч единиц,,,,68.7
2012,тысяч единиц,,,,10.9
2013,тысяч единиц,,,,5.642
2014,тысяч единиц,,,,24.066
2015,тысяч единиц,,,,37.248
2016,тысяч единиц,,,,39.017
2017,тысяч единиц,,,,36.609
2018,тысяч единиц,,,,37.9
2012,тысяч единиц,,,,2.4
2013,тысяч единиц,,,,5.06
2014,тысяч единиц,,,,9.449
2015,тысяч единиц,,,,11.171
2016,тысяч единиц,,,,11.396
2017,тысяч единиц,,,,11.833
2018,тысяч единиц,,,,10.8
2012,тысяч единиц,,,,2.5
2013,тысяч единиц,,,,11.111
2014,тысяч единиц,,,,20.998
2015,тысяч единиц,,,,23.871
2016,тысяч единиц,,,,27.202
2017,тысяч единиц,,,,31.1
2018,тысяч единиц,,,,32.4
2012,тысяч единиц,,,,4.8
2013,тысяч единиц,,,,79.669
2014,тысяч единиц,,,,17.626
2015,тысяч единиц,,,,21.056
2016,тысяч единиц,,,,21.578
2017,тысяч единиц,,,,23.596
2012,тысяч единиц,,,,9.6
2013,тысяч единиц,,,,17.663
2014,тысяч единиц,,,,29.305
2015,тысяч единиц,,,,39.388
2016,тысяч единиц,,,,50.118
2017,тысяч единиц,,,,54.577
2018,тысяч единиц,,,,10.3
2012,тысяч единиц,Северо-Казахстанская,,,1.3
2013,тысяч единиц,Северо-Казахстанская,,,5.361
2014,тысяч единиц,Северо-Казахстанская,,,9.594
2015,тысяч единиц,Северо-Казахстанская,,,18.792
2016,тысяч единиц,Северо-Казахстанская,,,23.491
2017,тысяч единиц,Северо-Казахстанская,,,29.502
2018,тысяч единиц,Северо-Казахстанская,,,29.7
2018,тысяч единиц,,,,1.0
2012,тысяч единиц,,,,8.0
2013,тысяч единиц,,,,16.962
2014,тысяч единиц,,,,37.648
2015,тысяч единиц,,,,52.24
2016,тысяч единиц,,,,51.558
2017,тысяч единиц,,,,61.392
2018,тысяч единиц,,,,63.4
2012,тысяч единиц,,г. Астана,,11.8
2013,тысяч единиц,,г. Астана,,27.097
2014,тысяч единиц,,г. Астана,,44.633
2015,тысяч единиц,,г. Астана,,46.196
2016,тысяч единиц,,г. Астана,,77.603
2017,тысяч единиц,,г. Астана,,98.694
2018,тысяч единиц,,г. Астана,,107.5
2012,тысяч единиц,,г. Алматы,,243.6
2013,тысяч единиц,,г. Алматы,,396.506
2014,тысяч единиц,,г. Алматы,,509.487
2015,тысяч единиц,,г. Алматы,,580.925
2016,тысяч единиц,,г. Алматы,,728.886
2017,тысяч единиц,,г. Алматы,,860.723
2018,тысяч единиц,,г. Алматы,,165.4
2018,тысяч единиц,,г. Шымкент,,23.1
