Year,Units,Вид частиц РМ,Регионы,Город,Value
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Темиртау,0.0
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Костанай,0.049
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Костанай,0.085
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Костанай,0.05
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Костанай,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Костанай,0.04
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Рудный,0.012
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Рудный,0.016
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Рудный,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Рудный,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Рудный,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Карабалык,0.0298
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Карабалык,0.03
2017,мг/метр куб,взвешенные частицы РМ-10,,п.Карабалык,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,,п.Карабалык,0.02
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Аркалык,0.028
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Аркалык,0.06
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Аркалык,0.02
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Аркалык,0.012
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Житикара,0.013
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Житикара,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Житикара,0.03
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Житикара,0.033
2014,мг/метр куб,взвешенные частицы РМ-10,,,0.011
2015,мг/метр куб,взвешенные частицы РМ-10,,,0.007
2017,мг/метр куб,взвешенные частицы РМ-10,,,0.023
2018,мг/метр куб,взвешенные частицы РМ-10,,,0.026
2014,мг/метр куб,взвешенные частицы РМ-10,,г.Кызылорда,0.003
2015,мг/метр куб,взвешенные частицы РМ-10,,г.Кызылорда,0.029
2016,мг/метр куб,взвешенные частицы РМ-10,,г.Кызылорда,0.02
2017,мг/метр куб,взвешенные частицы РМ-10,,г.Кызылорда,0.04
2018,мг/метр куб,взвешенные частицы РМ-10,,г.Кызылорда,0.0054
2014,мг/метр куб,взвешенные частицы РМ-10,,п.Акай,0.0001
2015,мг/метр куб,взвешенные частицы РМ-10,,п.Акай,0.0002
2016,мг/метр куб,взвешенные частицы РМ-10,,п.Акай,0.0001
