Year,Units,Вид собственности,Регионы,GeoCode,Value
2014,тыс.тенге,по предприятиям и организациям частной собственности,Республика Казахстан,,4202318716.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Республика Казахстан,,4542902222.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Республика Казахстан,,5022388674.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Республика Казахстан,,6212525241.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Республика Казахстан,,8247478121.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,53701346.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,57521256.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,76923896.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,89235091.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,133929294.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,154754041.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,179188618.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,171193713.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Акмолинская,KZ03,196823867.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,248742874.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,254536558.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,292704669.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,426694718.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,407375114.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,275098829.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,313672630.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,337384643.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Актюбинская,KZ04,387293553.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,202961052.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,306036230.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,278548419.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,319843453.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,309317088.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,358513610.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,340194879.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,340412056.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Алматинская,KZ01,382581857.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,200774488.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,253501423.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,476676778.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,601055653.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,833570163.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,1028509285.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,1452732822.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,2276455829.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Атырауская,KZ06,3426141945.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,62521146.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,51552814.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,73187501.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,79942349.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,97520629.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,155057641.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,79802640.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,79412664.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Западно-Казахстанская,KZ07,113935094.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,101455224.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,46563964.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,43299347.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,161051801.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,132040337.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,134758577.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,140214230.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,151302800.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Жамбылская,KZ17,177870723.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,113466553.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,123923223.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,172792742.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,264522600.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,256500473.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,221288181.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,193907053.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,213412694.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Карагандинская,KZ12,256950353.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,89361565.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,114601877.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,126652516.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,135058484.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,141177782.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,133747224.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,143230986.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,147902322.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Костанайская,KZ13,170466949.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,130762672.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,93716685.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,143023117.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,234719456.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,129940156.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,158414104.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,121290310.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,160405376.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Кызылординская,KZ14,206869185.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,213959933.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,231233479.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,247607366.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,277293045.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,327228907.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,298572009.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,293445593.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,338783270.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Мангистауская,KZ09,407330985.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,157757047.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,158968661.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,163946146.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,278992468.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,280635168.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,281788151.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,203715656.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Южно-Казахстанская,KZ10,277749978.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,138498740.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,144249501.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,167224275.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,173458876.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,221224498.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,243058911.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,256076420.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,355596349.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Павлодарская,KZ11,154251870.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,33326255.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,48817284.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,68713195.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,77874967.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,93300654.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,122028401.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,135740603.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,151055887.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Северо-Казахстанская,KZ16,149805590.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Туркестанская,KZ10,346151682.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,91483979.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,148927182.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,165104319.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,201222900.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,190765886.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,172029711.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,155341765.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,221341728.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,Восточно-Казахстанская,KZ15,242234600.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,179046694.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,362927597.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,401638616.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,315620454.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,347511021.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,513581780.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,623145859.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,545796587.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,г.Нур-Султан,KZ05,617678242.0
2010,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,221486028.0
2011,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,243330560.0
2012,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,264489907.0
2013,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,320648924.0
2014,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,300281546.0
2015,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,291701767.0
2016,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,390688610.0
2017,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,444319345.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,г.Алматы,KZ02,488723477.0
2018,тыс.тенге,по предприятиям и организациям частной собственности,г.Шымкент,KZ18,522368149.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1377448179.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1301596792.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1132230712.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1035890541.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1122439988.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1419240796.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1641656897.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1238127054.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Республика Казахстан,,1537098193.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,5865857.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,7532384.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,7058813.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,5254504.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,5247022.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,8116247.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,11543868.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,26844506.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Акмолинская,KZ03,24664958.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,56720027.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,69078802.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,72262286.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,29557065.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,43668468.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,42668988.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,22975818.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,21481935.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Актюбинская,KZ04,44842320.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,13663644.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,7836056.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,13454282.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,13749695.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,16274363.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,12499725.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,25251112.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,48721092.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Алматинская,KZ01,61756261.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,836323392.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,772892424.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,508085982.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,400723906.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,251650840.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,415003074.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,546174230.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,135890390.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Атырауская,KZ06,213096949.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,142611910.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,83180609.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,68589643.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,90047981.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,130945794.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,181597518.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,300607048.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,283611660.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Западно-Казахстанская,KZ07,295333019.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,1673955.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,3036140.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,13673348.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,9388787.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,16331263.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,15150278.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,36857899.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,18661508.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Жамбылская,KZ17,25238920.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,65683196.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,88889603.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,107333700.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,102948485.0
2014,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,112254039.0
2015,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,94116976.0
2016,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,94223145.0
2017,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,89716426.0
2018,тыс.тенге,по предприятиям и организациям  иностранной собственности,Карагандинская,KZ12,156763376.0
2010,тыс.тенге,по предприятиям и организациям  иностранной собственности,Костанайская,KZ13,4053809.0
2011,тыс.тенге,по предприятиям и организациям  иностранной собственности,Костанайская,KZ13,5100211.0
2012,тыс.тенге,по предприятиям и организациям  иностранной собственности,Костанайская,KZ13,5208528.0
2013,тыс.тенге,по предприятиям и организациям  иностранной собственности,Костанайская,KZ13,18428042.0
