Year,Units,Области,Регионы,Value
2018,человек,регионы,Западно-Казахстанская,619.333633802126
2010,человек,регионы,,182.6266323456757
2011,человек,регионы,,88.48370329987128
2012,человек,регионы,,167.4814923541876
2013,человек,регионы,,153.1923901448086
2014,человек,регионы,,178.66485130961337
2015,человек,регионы,,229.03824757676628
2016,человек,регионы,,213.83109858871475
2017,человек,регионы,,225.7530476661435
2018,человек,регионы,,207.056448208784
2010,человек,регионы,,481.6527357875393
2011,человек,регионы,,408.82802877736066
2012,человек,регионы,,603.5109488353562
2013,человек,регионы,,603.1248307371152
2014,человек,регионы,,778.8105306829514
2015,человек,регионы,,880.2243413880617
2016,человек,регионы,,771.0807849848096
2017,человек,регионы,,765.7588539962769
2018,человек,регионы,,779.8026047583191
2010,человек,регионы,,231.15702020470994
2011,человек,регионы,,152.1612000295238
2012,человек,регионы,,151.15766312525855
2013,человек,регионы,,433.8237131221452
2014,человек,регионы,,475.45128156247586
2015,человек,регионы,,523.401247099768
2016,человек,регионы,,500.3006341679241
2017,человек,регионы,,492.37783159994297
2018,человек,регионы,,466.349503171635
2010,человек,регионы,,77.7245700319966
2011,человек,регионы,,79.24098456923328
2012,человек,регионы,,145.87486714967457
2013,человек,регионы,,162.30024454146087
2014,человек,регионы,,182.21671999185384
2015,человек,регионы,,181.8109956128216
2016,человек,регионы,,184.63138733584708
2017,человек,регионы,,174.7735012529718
2018,человек,регионы,,161.17557434538165
2010,человек,регионы,,728.0329678244468
2011,человек,регионы,,768.2429666515261
2012,человек,регионы,,664.536557592869
2013,человек,регионы,,786.01108033241
2014,человек,регионы,,782.0650872412863
2015,человек,регионы,,849.5350254860508
2016,человек,регионы,,938.8798659103118
2017,человек,регионы,,888.621500956918
2018,человек,регионы,,859.5980089174078
2010,человек,регионы,,113.40390889098458
2011,человек,регионы,,177.29532892330474
2012,человек,регионы,,331.6848458137146
2013,человек,регионы,,502.6061607689283
2014,человек,регионы,,445.5746826638845
2015,человек,регионы,,438.46122140941475
2016,человек,регионы,,349.68042705771194
2017,человек,регионы,,342.98512766898216
2010,человек,регионы,,169.0573976699597
2011,человек,регионы,,259.81156965025883
2012,человек,регионы,,296.7184542839729
2013,человек,регионы,,953.3231166209755
2014,человек,регионы,,923.9693830747898
2015,человек,регионы,,673.5394099794768
2016,человек,регионы,,824.7515188623971
2017,человек,регионы,,673.3392068619747
2018,человек,регионы,,634.1170914455216
2010,человек,регионы,Северо-Казахстанская,123.49730843537368
2011,человек,регионы,Северо-Казахстанская,85.23753997640625
2012,человек,регионы,Северо-Казахстанская,250.9729499291775
2013,человек,регионы,Северо-Казахстанская,271.70997296745367
2014,человек,регионы,Северо-Казахстанская,261.37549726688354
2015,человек,регионы,Северо-Казахстанская,192.7416980894041
2016,человек,регионы,Северо-Казахстанская,142.99660868536685
2017,человек,регионы,Северо-Казахстанская,114.09379222807348
2018,человек,регионы,Северо-Казахстанская,122.62880081656354
2018,человек,регионы,,91.83816097614881
2010,человек,регионы,,525.0072242138482
2011,человек,регионы,,521.2775022215156
2012,человек,регионы,,568.636505746599
2013,человек,регионы,,1097.3814899715112
2014,человек,регионы,,1192.177081668073
2015,человек,регионы,,1134.163763790156
2016,человек,регионы,,1097.7933563757454
2017,человек,регионы,,1184.1437241824935
2018,человек,регионы,,1212.909066640358
2010,человек,регионы,г.Нур-Султан,1647.461142051557
2011,человек,регионы,г.Нур-Султан,1713.8531836142304
2012,человек,регионы,г.Нур-Султан,3142.6445024759832
2013,человек,регионы,г.Нур-Султан,3245.0815163472234
2014,человек,регионы,г.Нур-Султан,3278.5076012672575
2015,человек,регионы,г.Нур-Султан,2780.8237915181976
2016,человек,регионы,г.Нур-Султан,2577.392216665691
2017,человек,регионы,г.Нур-Султан,2540.8482539530405
2018,человек,регионы,г.Нур-Султан,2171.8124340434842
2010,человек,регионы,г.Алматы,3972.5197787829356
2011,человек,регионы,г.Алматы,4030.7170120851642
2012,человек,регионы,г.Алматы,3987.3962712715274
2013,человек,регионы,г.Алматы,4515.47213245385
2014,человек,регионы,г.Алматы,5297.33468573449
2015,человек,регионы,г.Алматы,4662.386632418419
2016,человек,регионы,г.Алматы,4093.1375529302495
2017,человек,регионы,г.Алматы,3922.550868207019
2018,человек,регионы,г.Алматы,3986.9381134891587
2018,человек,регионы,,616.8988770265473
