Year,Units,Браконьерство,Регионы,GeoCode,Value
2016,млн_тенге,взыскано,Карагандинская,KZ12,2.3
2017,млн_тенге,взыскано,Карагандинская,KZ12,3.7
2018,млн_тенге,взыскано,Карагандинская,KZ12,4.4
2012,количество,выявлено нарушений,Костанайская,KZ13,166.0
2013,количество,выявлено нарушений,Костанайская,KZ13,181.0
2014,количество,выявлено нарушений,Костанайская,KZ13,120.0
2015,количество,выявлено нарушений,Костанайская,KZ13,540.0
2016,количество,выявлено нарушений,Костанайская,KZ13,183.0
2017,количество,выявлено нарушений,Костанайская,KZ13,226.0
2018,количество,выявлено нарушений,Костанайская,KZ13,219.0
2012,млн_тенге,наложено штрафов на сумму,Костанайская,KZ13,1.0
2015,млн_тенге,наложено штрафов на сумму,Костанайская,KZ13,6.7
2016,млн_тенге,наложено штрафов на сумму,Костанайская,KZ13,2.8
2017,млн_тенге,наложено штрафов на сумму,Костанайская,KZ13,3.0
2018,млн_тенге,наложено штрафов на сумму,Костанайская,KZ13,4.0
2015,млн_тенге,взыскано,Костанайская,KZ13,5.3
2016,млн_тенге,взыскано,Костанайская,KZ13,2.5
2017,млн_тенге,взыскано,Костанайская,KZ13,2.6
2018,млн_тенге,взыскано,Костанайская,KZ13,2.6
2012,количество,выявлено нарушений,Кызылординская,KZ14,629.0
2013,количество,выявлено нарушений,Кызылординская,KZ14,440.0
2014,количество,выявлено нарушений,Кызылординская,KZ14,451.0
2015,количество,выявлено нарушений,Кызылординская,KZ14,502.0
2016,количество,выявлено нарушений,Кызылординская,KZ14,479.0
2017,количество,выявлено нарушений,Кызылординская,KZ14,236.0
2018,количество,выявлено нарушений,Кызылординская,KZ14,733.0
2012,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,3.0
2013,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,2.2
2014,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,3.6
2015,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,7.0
2016,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,5.9
2017,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,5.1
2018,млн_тенге,наложено штрафов на сумму,Кызылординская,KZ14,13.2
2012,млн_тенге,взыскано,Кызылординская,KZ14,2.8
2013,млн_тенге,взыскано,Кызылординская,KZ14,2.1
2014,млн_тенге,взыскано,Кызылординская,KZ14,2.7
2015,млн_тенге,взыскано,Кызылординская,KZ14,5.5
2016,млн_тенге,взыскано,Кызылординская,KZ14,5.5
2017,млн_тенге,взыскано,Кызылординская,KZ14,4.4
2018,млн_тенге,взыскано,Кызылординская,KZ14,11.0
2012,количество,выявлено нарушений,Мангистауская,KZ09,224.0
2013,количество,выявлено нарушений,Мангистауская,KZ09,232.0
2014,количество,выявлено нарушений,Мангистауская,KZ09,230.0
2015,количество,выявлено нарушений,Мангистауская,KZ09,122.0
2016,количество,выявлено нарушений,Мангистауская,KZ09,153.0
2017,количество,выявлено нарушений,Мангистауская,KZ09,190.0
2018,количество,выявлено нарушений,Мангистауская,KZ09,151.0
2012,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,1.1
2013,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,1.2
2014,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,1.4
2016,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,1.9
2017,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,2.6
2018,млн_тенге,наложено штрафов на сумму,Мангистауская,KZ09,2.0
2012,млн_тенге,взыскано,Мангистауская,KZ09,1.1
2013,млн_тенге,взыскано,Мангистауская,KZ09,1.1
2014,млн_тенге,взыскано,Мангистауская,KZ09,1.1
2016,млн_тенге,взыскано,Мангистауская,KZ09,1.2
2017,млн_тенге,взыскано,Мангистауская,KZ09,1.5
2018,млн_тенге,взыскано,Мангистауская,KZ09,1.7
2012,количество,выявлено нарушений,Павлодарская,KZ11,264.0
2013,количество,выявлено нарушений,Павлодарская,KZ11,297.0
2014,количество,выявлено нарушений,Павлодарская,KZ11,381.0
2015,количество,выявлено нарушений,Павлодарская,KZ11,324.0
2016,количество,выявлено нарушений,Павлодарская,KZ11,347.0
2017,количество,выявлено нарушений,Павлодарская,KZ11,340.0
2018,количество,выявлено нарушений,Павлодарская,KZ11,351.0
2012,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,1.3
2013,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,1.7
2014,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,2.4
2015,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,3.2
2016,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,3.7
2017,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,4.3
2018,млн_тенге,наложено штрафов на сумму,Павлодарская,KZ11,5.1
2012,млн_тенге,взыскано,Павлодарская,KZ11,1.3
2013,млн_тенге,взыскано,Павлодарская,KZ11,1.7
2014,млн_тенге,взыскано,Павлодарская,KZ11,2.4
2015,млн_тенге,взыскано,Павлодарская,KZ11,3.2
2016,млн_тенге,взыскано,Павлодарская,KZ11,3.6
2017,млн_тенге,взыскано,Павлодарская,KZ11,3.9
2018,млн_тенге,взыскано,Павлодарская,KZ11,4.8
2012,количество,выявлено нарушений,Северо-Казахстанская,KZ16,130.0
2013,количество,выявлено нарушений,Северо-Казахстанская,KZ16,61.0
2014,количество,выявлено нарушений,Северо-Казахстанская,KZ16,106.0
2015,количество,выявлено нарушений,Северо-Казахстанская,KZ16,107.0
2016,количество,выявлено нарушений,Северо-Казахстанская,KZ16,157.0
2017,количество,выявлено нарушений,Северо-Казахстанская,KZ16,152.0
2018,количество,выявлено нарушений,Северо-Казахстанская,KZ16,174.0
2015,млн_тенге,наложено штрафов на сумму,Северо-Казахстанская,KZ16,1.1
2016,млн_тенге,наложено штрафов на сумму,Северо-Казахстанская,KZ16,1.6
2017,млн_тенге,наложено штрафов на сумму,Северо-Казахстанская,KZ16,1.8
2018,млн_тенге,наложено штрафов на сумму,Северо-Казахстанская,KZ16,2.1
2015,млн_тенге,взыскано,Северо-Казахстанская,KZ16,1.1
2016,млн_тенге,взыскано,Северо-Казахстанская,KZ16,1.6
2017,млн_тенге,взыскано,Северо-Казахстанская,KZ16,1.8
2018,млн_тенге,взыскано,Северо-Казахстанская,KZ16,2.0
2012,количество,выявлено нарушений,Туркестанская,KZ10,454.0
2013,количество,выявлено нарушений,Туркестанская,KZ10,439.0
2014,количество,выявлено нарушений,Туркестанская,KZ10,290.0
2015,количество,выявлено нарушений,Туркестанская,KZ10,447.0
2016,количество,выявлено нарушений,Туркестанская,KZ10,260.0
2017,количество,выявлено нарушений,Туркестанская,KZ10,246.0
2018,количество,выявлено нарушений,Туркестанская,KZ10,218.0
2012,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,2.3
2013,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,2.3
2014,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,1.8
2015,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,3.5
2016,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,3.4
2017,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,3.1
2018,млн_тенге,наложено штрафов на сумму,Туркестанская,KZ10,3.1
2012,млн_тенге,взыскано,Туркестанская,KZ10,2.2
2013,млн_тенге,взыскано,Туркестанская,KZ10,2.3
2014,млн_тенге,взыскано,Туркестанская,KZ10,1.6
2015,млн_тенге,взыскано,Туркестанская,KZ10,3.0
2016,млн_тенге,взыскано,Туркестанская,KZ10,2.7
2017,млн_тенге,взыскано,Туркестанская,KZ10,3.0
2018,млн_тенге,взыскано,Туркестанская,KZ10,2.7
