Year,Units,сумма ущерба от ЧС,Регионы,GeoCode,Value
2011,тыс_тенге,техногенного характера,Актюбинская,,0.0
2012,тыс_тенге,техногенного характера,Актюбинская,,0.0
2013,тыс_тенге,техногенного характера,Актюбинская,,0.0
2014,тыс_тенге,техногенного характера,Актюбинская,,0.0
2015,тыс_тенге,техногенного характера,Актюбинская,,0.0
2016,тыс_тенге,техногенного характера,Актюбинская,,134695.5
2017,тыс_тенге,техногенного характера,Актюбинская,,0.0
2010,тыс_тенге,техногенного характера,Алматинская,,7900000.0
2011,тыс_тенге,техногенного характера,Алматинская,,367400.0
2012,тыс_тенге,техногенного характера,Алматинская,,970900.0
2013,тыс_тенге,техногенного характера,Алматинская,,927600.0
2014,тыс_тенге,техногенного характера,Алматинская,,180100.0
2015,тыс_тенге,техногенного характера,Алматинская,,130400.0
2016,тыс_тенге,техногенного характера,Алматинская,,173300.0
2017,тыс_тенге,техногенного характера,Алматинская,,180900.0
2010,тыс_тенге,техногенного характера,Атырауская,,0.0
2011,тыс_тенге,техногенного характера,Атырауская,,0.0
2012,тыс_тенге,техногенного характера,Атырауская,,0.0
2013,тыс_тенге,техногенного характера,Атырауская,,0.0
2014,тыс_тенге,техногенного характера,Атырауская,,17274.4
2015,тыс_тенге,техногенного характера,Атырауская,,114069.8
2016,тыс_тенге,техногенного характера,Атырауская,,145923.4
2017,тыс_тенге,техногенного характера,Атырауская,,0.0
2010,тыс_тенге,техногенного характера,Западно-Казахстанская,,382700.63
2011,тыс_тенге,техногенного характера,Западно-Казахстанская,,274747.85
2012,тыс_тенге,техногенного характера,Западно-Казахстанская,,407495.27
2013,тыс_тенге,техногенного характера,Западно-Казахстанская,,274838.8
2014,тыс_тенге,техногенного характера,Западно-Казахстанская,,328119.3
2015,тыс_тенге,техногенного характера,Западно-Казахстанская,,0.0
2016,тыс_тенге,техногенного характера,Западно-Казахстанская,,0.0
2017,тыс_тенге,техногенного характера,Западно-Казахстанская,,26296.31
2010,тыс_тенге,техногенного характера,Жамбылская,,0.0
2011,тыс_тенге,техногенного характера,Жамбылская,,0.0
2012,тыс_тенге,техногенного характера,Жамбылская,,0.0
2013,тыс_тенге,техногенного характера,Жамбылская,,0.0
2014,тыс_тенге,техногенного характера,Жамбылская,,0.0
2015,тыс_тенге,техногенного характера,Жамбылская,,0.0
2016,тыс_тенге,техногенного характера,Жамбылская,,0.0
2017,тыс_тенге,техногенного характера,Жамбылская,,0.0
2010,тыс_тенге,техногенного характера,Карагандинская,,0.0
2011,тыс_тенге,техногенного характера,Карагандинская,,255073.5
2012,тыс_тенге,техногенного характера,Карагандинская,,14384.0
2013,тыс_тенге,техногенного характера,Карагандинская,,0.0
2014,тыс_тенге,техногенного характера,Карагандинская,,12828.0
2015,тыс_тенге,техногенного характера,Карагандинская,,0.0
2016,тыс_тенге,техногенного характера,Карагандинская,,0.0
2017,тыс_тенге,техногенного характера,Карагандинская,,1402.4
2010,тыс_тенге,техногенного характера,Костанайская,,0.0
2011,тыс_тенге,техногенного характера,Костанайская,,0.0
2012,тыс_тенге,техногенного характера,Костанайская,,0.0
2013,тыс_тенге,техногенного характера,Костанайская,,0.0
2014,тыс_тенге,техногенного характера,Костанайская,,0.0
2015,тыс_тенге,техногенного характера,Костанайская,,0.0
2016,тыс_тенге,техногенного характера,Костанайская,,0.0
2017,тыс_тенге,техногенного характера,Костанайская,,0.0
2010,тыс_тенге,техногенного характера,Кызылординская,,0.0
2011,тыс_тенге,техногенного характера,Кызылординская,,0.0
2012,тыс_тенге,техногенного характера,Кызылординская,,21500.0
2013,тыс_тенге,техногенного характера,Кызылординская,,7600.0
2014,тыс_тенге,техногенного характера,Кызылординская,,0.0
2015,тыс_тенге,техногенного характера,Кызылординская,,11300.0
2016,тыс_тенге,техногенного характера,Кызылординская,,0.0
2017,тыс_тенге,техногенного характера,Кызылординская,,0.0
2010,тыс_тенге,техногенного характера,Мангистауская,,17139.3
2011,тыс_тенге,техногенного характера,Мангистауская,,0.0
2012,тыс_тенге,техногенного характера,Мангистауская,,0.0
2013,тыс_тенге,техногенного характера,Мангистауская,,0.0
2014,тыс_тенге,техногенного характера,Мангистауская,,1955.4
2015,тыс_тенге,техногенного характера,Мангистауская,,0.0
2016,тыс_тенге,техногенного характера,Мангистауская,,0.0
2017,тыс_тенге,техногенного характера,Мангистауская,,0.0
2010,тыс_тенге,техногенного характера,Павлодарская,,0.0
2011,тыс_тенге,техногенного характера,Павлодарская,,0.0
2012,тыс_тенге,техногенного характера,Павлодарская,,0.0
2013,тыс_тенге,техногенного характера,Павлодарская,,0.0
2014,тыс_тенге,техногенного характера,Павлодарская,,0.0
2015,тыс_тенге,техногенного характера,Павлодарская,,0.0
2016,тыс_тенге,техногенного характера,Павлодарская,,0.0
2017,тыс_тенге,техногенного характера,Павлодарская,,0.0
2010,тыс_тенге,техногенного характера,Северо-Казахстанская,,0.0
2011,тыс_тенге,техногенного характера,Северо-Казахстанская,,0.0
2012,тыс_тенге,техногенного характера,Северо-Казахстанская,,0.0
2013,тыс_тенге,техногенного характера,Северо-Казахстанская,,0.0
2014,тыс_тенге,техногенного характера,Северо-Казахстанская,,119000.0
2015,тыс_тенге,техногенного характера,Северо-Казахстанская,,0.0
2016,тыс_тенге,техногенного характера,Северо-Казахстанская,,103300.0
2017,тыс_тенге,техногенного характера,Северо-Казахстанская,,87200.0
2010,тыс_тенге,техногенного характера,Туркестанская,,0.0
2011,тыс_тенге,техногенного характера,Туркестанская,,0.0
2012,тыс_тенге,техногенного характера,Туркестанская,,0.0
2013,тыс_тенге,техногенного характера,Туркестанская,,0.0
2014,тыс_тенге,техногенного характера,Туркестанская,,0.0
2015,тыс_тенге,техногенного характера,Туркестанская,,0.0
2016,тыс_тенге,техногенного характера,Туркестанская,,0.0
2017,тыс_тенге,техногенного характера,Туркестанская,,0.0
2010,тыс_тенге,техногенного характера,Восточно-Казахстанская,,30600.0
2011,тыс_тенге,техногенного характера,Восточно-Казахстанская,,51900.0
2012,тыс_тенге,техногенного характера,Восточно-Казахстанская,,13000.0
2013,тыс_тенге,техногенного характера,Восточно-Казахстанская,,2200.0
2014,тыс_тенге,техногенного характера,Восточно-Казахстанская,,14300.0
2015,тыс_тенге,техногенного характера,Восточно-Казахстанская,,25100.0
2016,тыс_тенге,техногенного характера,Восточно-Казахстанская,,18900.0
2017,тыс_тенге,техногенного характера,Восточно-Казахстанская,,51500.0
2010,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2011,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2012,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2013,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2014,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2015,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2016,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2017,тыс_тенге,техногенного характера,г_Нур-Султан,,0.0
2010,тыс_тенге,техногенного характера,г_Алматы,,0.0
2011,тыс_тенге,техногенного характера,г_Алматы,,0.0
2012,тыс_тенге,техногенного характера,г_Алматы,,0.0
2013,тыс_тенге,техногенного характера,г_Алматы,,0.0
2014,тыс_тенге,техногенного характера,г_Алматы,,125613.0
2015,тыс_тенге,техногенного характера,г_Алматы,,40000.0
2016,тыс_тенге,техногенного характера,г_Алматы,,107230.0
2017,тыс_тенге,техногенного характера,г_Алматы,,104120.0
2010,тыс_тенге,техногенного характера,г_Шымкент,,0.0
2011,тыс_тенге,техногенного характера,г_Шымкент,,0.0
2012,тыс_тенге,техногенного характера,г_Шымкент,,0.0
2013,тыс_тенге,техногенного характера,г_Шымкент,,0.0
2014,тыс_тенге,техногенного характера,г_Шымкент,,398100.0
2015,тыс_тенге,техногенного характера,г_Шымкент,,183700.0
2016,тыс_тенге,техногенного характера,г_Шымкент,,231600.0
2017,тыс_тенге,техногенного характера,г_Шымкент,,222400.0
